Name	Set	Set #	Imagefile	Side	Culture	Type	Twilight	Strength	Vitality	Resistance	Signet/Site#	Unique	Rarity	Card#	Notes	Lore	Text
Gandalf, Stormcrow (P)	Promotional	0	LOTR00064	Free Peoples	Gandalf	Companion - Wizard	4	8	4	6		U	P	64			
Boromir, Steward's Heir (P)	Promotional	0	LOTR00065	Free Peoples	Gondor	Companion - Man	3	7	3	6		U	P	65			Knight. Ranger. Ring-bound.
Eomer, Forthwith Banished (P)	Promotional	0	LOTR00066	Free Peoples	Rohan	Companion - Man	2	7	3	6		U	P	66			Damage +1. Valiant. While you can spot a [ROHAN] Man, Eomer's twilight cost is -1.
Frodo, Mr. Underhill (P)	Promotional	0	LOTR00067	Free Peoples	Shire	Companion - Hobbit	0	3	4	10	Gandalf	U	P	67			Ring-bearer (Resistance 10). The twilight cost of each artifact, possession, and [SHIRE] tale played on Frodo is -1.
The One Ring, The Binding Ring (P)	Promotional	0	LOTR00068	The One Ring	The One Ring	The One Ring	0	1	1			U	P	68			Fellowship: Add 2 burdens to play a ring from your draw deck. Maneuver: Exert bearer to wear The One Ring until the regroup phase. While wearing The One Ring, each time the Ring-bearer is about to take a wound, add a burden instead. 
Nocked (P)	Promotional	0	LOTR00069	Free Peoples	Elven	Event - Archery	2						P	69			Exert an Elf who has resistance 4 or more to wound a minion.
Gandalf, Leader of the Company (P)	Promotional	0	LOTR00070	Free Peoples	Gandalf	Companion - Wizard	4	7	4	7		U	P	70			While Gandalf is in region 1, each other companion is strength +2. While Gandalf is in region 2, each companion is strength +1. While Gandalf is in region 3, he is strength +2.
Boromir, Hero of Osgiliath (P)	Promotional	0	LOTR00071	Free Peoples	Gondor	Companion - Man	3	7	3	5		U	P	71			Knight. Each time Boromir wins a skirmish, you may heal a [GONDOR] companion.
Bow of Minas Tirith (P)	Promotional	0	LOTR00072	Free Peoples	Gondor	Possession - Ranged Weapon	1	1					P	72			Bearer must be a [GONDOR] Man. At the start of the archery phase, if bearer is at a battleground site, you may exert him or her to make the fellowship archery total +1.
Armored Easterling (P)	Promotional	0	LOTR00073	Shadow	Men	Minion - Man	4	10	3		4		P	73			Skirmish: Remove (2) to make a lurker strength +1. Skirmish: Remove (2) to make a lurker fierce until the regroup phase. Skirmish: Remove (2) to make a lurker damage +1.
Poleaxe (P)	Promotional	0	LOTR00074	Shadow	Men	Possession - Hand Weapon	1	2					P	74			Bearer must be a [MEN] minion. Skirmish: Remove (2) to make a [MEN] minion fierce until the regroup phase.
Champion Orc (P)	Promotional	0	LOTR00075	Shadow	Orc	Minion - Orc	5	13	2		4		P	75			Toil 2. (For each [ORC] character you exert when playing this, its twilight cost is -2.)
Spurred to Battle (P)	Promotional	0	LOTR00076	Shadow	Orc	Condition - Support Area	1						P	76			To play, exert an [ORC] minion. At the start of the Shadow phase, add (1).
Riders of the Mark (P)	Promotional	0	LOTR00077	Free Peoples	Rohan	Companion - Man	5	8	3	6		U	P	77			To play, spot 2 [ROHAN] companions. You may play Riders of the Mark any time you could play a skirmish event. When you play Riders of the Mark, you may exhaust a minion.
Sam, Steadfast Friend (P)	Promotional	0	LOTR00078	Free Peoples	Shire	Companion - Hobbit	2	3	4	10		U	P	78			Ring-bound. Each other companion is resistance +1.
Arwen, Staunch Defender (P)	Promotional	0	LOTR00079	Free Peoples	Elven	Companion - Elf	2	6	3	7		U	P	79			Each minion skirmishing Arwen is strength -1 for each forest site on the adventure path.
Eomer, Eored Leader (P)	Promotional	0	LOTR00080	Free Peoples	Rohan	Companion - Man	3	7	3	7		U	P	80			While you can spot a [ROHAN] Man, Eomer's twilight cost is -1. Maneuver: If you can spot more minions than companions, exert Eomer to play a [ROHAN] companion from your draw deck.
Ulaire Toldea, Black Shadow (P)	Promotional	0	LOTR00081	Shadow	Wraith	Minion - Nazgul	6	12	3		3	U	P	81			Fierce. When you play Ulaire Toldea, you may exert him to take a [RINGWRAITH] event from your discard pile into hand.
The Witch-king's Beast, Fell Creature (P)	Promotional	0	LOTR00082	Shadow	Wraith	Possession - Mount	2	2				U	P	82			Bearer must be a Nazgul. If bearer is The Witch-king, after all skirmishes and fierce skirmishes have been resolved, you may exert him twice to make him participate in one additional assignment and skirmish phase.
Ulaire Attea, Second of the Nine Riders (P)	Promotional	0	LOTR00083	Shadow	Wraith	Minion - Nazgul	6	12	3		3	U	P	83			Fierce. Each time Ulaire Attea is assigned to a fierce skirmish involving a character who has resistance 4 or less, you may exert Ulaire Attea to add a burden.
Sting, Weapon of Heritage (P)	Promotional	0	LOTR00084	Free Peoples	Shire	Possession - Hand Weapon	1	2				U	P	84			Bearer must be Bilbo, Frodo, or Sam. Maneuver: If bearer is Bilbo or Frodo, exert him to make another companion resistance +2 until the regroup phase. If bearer is Sam, each time he wins a skirmish, you may remove a burden.
Olog-Hai Bestial (P)	Promotional	0	LOTR00085	Shadow	Orc	Minion - Troll	6	13	3		5		P	85			Degats +1. Acharne. Pour jouer, designez un seide [ORC]. Affectation : Affaiblissez ce seide pour l'affecter a un compagnon qui detient un artefact. Le joueur des Peuples Libres peut defausser un artefact en jeu pour prevenir ceci.
Pippin, Brave Decoy (P)	Promotional	0	LOTR00086	Free Peoples	Shire	Companion - Hobbit	1	3	4	9		U	P	86			Skirmish: If Pippin is not assigned to a skirmish, spot an unbound companion who has less resistance than Pippin to have Pippin replace him or her in a skirmish.
Legolas, Companion of the Ring (P)	Promotional	0	LOTR00087	Free Peoples	Elven	Companion - Elf	2	6	3	7		U	P	87			While Legolas is at a battleground or forest site, he is strength +2 and resistance +2.
Eowyn, Shieldmaiden of Rohan (P)	Promotional	0	LOTR00088	Free Peoples	Rohan	Companion - Man	2	6	3	7		U	P	88			Each time Eowyn wins a skirmish, each other [ROHAN] Man is strength +1 until the regroup phase.
Jarnsmid, Barding Emissary (P)	Promotional	0	LOTR00089	Free Peoples	Gandalf	Companion - Man	2	4	3	5		U	P	89			At the start of each skirmish involving Jarnsmid, you may remove a burden (or 2 burdens if you can spot another [GANDALF] companion).
Vapour and Steam (P)	Promotional	0	LOTR00090	Free Peoples	Gandalf	Condition - Support Area	1						P	90			Skirmish: Exert your [GANDALF] companion and add a burden to make that companion damage +1.
Massing Strength (P)	Promotional	0	LOTR00091	Shadow	Orc	Event - Skirmish	0						P	91			Discard any number of your [ORC] minions from play to make an [ORC] minion strength +3 for each one discarded.
Morgul Tormentor (P)	Promotional	0	LOTR00092	Shadow	Orc	Minion - Orc	3	9	2		4		P	92			Each time the Free Peoples player assigns this minion to skirmish an unwounded companion, he or she must add a burden or discard a card from hand.
Farmer Maggot, Hobbit of the Marish (P)	Promotional	0	LOTR00093	Free Peoples	Shire	Companion - Hobbit	1	3	3	8		U	P	93			While Farmer Maggot is at a dwelling or forest site, he is strength +4.
Mithril-coat, Dwarf-mail (P)	Promotional	0	LOTR00094	Free Peoples	Shire	Artifact - Armor	2					U	P	94			Bearer must be a Ring-bound Hobbit. Each minion skirmishing bearer loses all damage bonuses. Skirmish: Exert bearer to make each minion he is skirmishing lose fierce and unable to gain fierce until the regroup phase.
Saruman, Agent of the Dark Lord (P)	Promotional	0	LOTR00095	Shadow	Uruk-hai	Minion - Wizard	4	8	4		4	U	P	95			Lurker. (Skirmishes involving lurker minions must be resolved after any others.) Skirmish: Exert Saruman to make an [URUK-HAI] minion strength +2. Each time a companion is killed, you may heal Saruman.
Keening Wail (P)	Promotional	0	LOTR00096	Shadow	Wraith	Event - Maneuver	7						P	96			Toil 2. (For each [RINGWRAITH] character you exert when playing this, its twilight cost is -2.) Spot a Nazgul to add a burden.
Ulaire Nelya, Third of the Nine Riders (P)	Promotional	0	LOTR00097	Shadow	Wraith	Minion - Nazgul	5	10	3		2	U	P	97			Fierce. Shadow: Exert Ulaire Nelya to replace the fellowship's current site with a site from your adventure deck.
Ulaire Lemenya, Black Enemy (P)	Promotional	0	LOTR00098	Shadow	Wraith	Minion - Nazgul	4	9	2		3	U	P	98			When you play Ulaire Lemenya, you may play a [RINGWRAITH] mount from your discard pile.
Ulaire Nelya, Black Hunter (P)	Promotional	0	LOTR00099	Shadow	Wraith	Minion - Nazgul	5	10	3		2	U	P	99			Fierce. Each time Ulaire Nelya wins a skirmish, you may draw a card.
The Mouth of Sauron, Messenger of Mordor (P)	Promotional	0	LOTR00100	Shadow	Men	Minion - Man	3	9	3		5	U	P	100			Maneuver: Exert The Mouth of Sauron to play a [MEN] condition or [MEN] possession from your draw deck.
Orophin, Brother of Haldir (P)	Promotional	0	LOTR00101	Free Peoples	Elven	Companion - Elf	2	6	3	6		U	P	101			While Orophin is at a forest site and you can spot another Elf, Orophin is an archer.
Grima, Footman of Saruman (P)	Promotional	0	LOTR00102	Shadow	Men	Minion - Man	2	4	3		3	U	P	102	Image fixed. 		Lurker. (Skirmishes involving lurker minions must be resolved after any others.) Each time a Free Peoples character is killed, you may spot another [MEN] minion to exert each companion.
Ulaire Otsea, Zwarte Schim (P)	Promotional	0	LOTR00103	Shadow	Wraith	Minion - Nazgul	4	9	3		3	U	P	103			Shadow: Exert Ulaire Otsea and discard a [RINGWRAITH] condition from hand to discard a Free Peoples condition from play.
Saruman, Of Many Colours (P)	Promotional	0	LOTR00104	Shadow	Isengard	Minion - Wizard	4	8	4		4	U	P	104			Damage +1. Fierce. Lurker. (Skirmishes involving lurker minions must be resolved after any others.) When you play Saruman, name a culture. Each companion of the named culture is strength -1.
Ulaire Otsea, Seventh of the Nine Riders (P)	Promotional	0	LOTR00105	Shadow	Wraith	Minion - Nazgul	4	9	3		3	U	P	105			When you play Ulaire Otsea, you may spot a companion who has X wounds to reveal the top X cards of your draw deck. Take each [RINGWRAITH] card revealed this way into hand.
Hama, Captain of the King's Guard (P)	Promotional	0	LOTR00106	Free Peoples	Rohan	Companion - Man	2	6	3	6		U	P	106			Hama is strength +1 for each Shadow possession you can spot. Each time Hama wins a skirmish, you may discard a possession from play.
Guard of the White Tree (P)	Promotional	0	LOTR00107	Free Peoples	Gondor	Companion - Man	3	7	3	5			P	107			Knight. Skirmish: Discard a [GONDOR] condition from your support area to make this companion strength +2.
The Witch-king, Captain of the Nine Riders (P)	Promotional	0	LOTR00108	Shadow	Wraith	Minion - Nazgul	8	14	4		3	U	P	108	The Nine Riders Collection.		Fierce. Toil 2. (For each [RINGWRAITH] character you exert when playing this, its twilight cost is -2.) Muster. (At the start of the regroup phase, you may discard a card from hand to draw a card.)
Ulaire Attea, Second of the Nine Riders (P)	Promotional	0	LOTR00109	Shadow	Wraith	Minion - Nazgul	6	12	3		3	U	P	109	The Nine Riders Collection.		Fierce. Each time Ulaire Attea is assigned to a fierce skirmish involving a character who has resistance 4 or less, you may exert Ulaire Attea to add a burden.
Ulaire Nelya, Third of the Nine Riders (P)	Promotional	0	LOTR00110	Shadow	Wraith	Minion - Nazgul	5	10	3		2	U	P	110	The Nine Riders Collection.		Fierce. Shadow: Exert Ulaire Nelya to replace the fellowship's current site with a site from your adventure deck.
Ulaire Cantea, Fourth of the Nine Riders (P)	Promotional	0	LOTR00111	Shadow	Wraith	Minion - Nazgul	5	10	3		3	U	P	111	The Nine Riders Collection.		While Ulaire Cantea is at a forest or dwelling site, he is strength +2 and fierce.
Ulaire Lemenya, Fifth of the Nine Riders (P)	Promotional	0	LOTR00112	Shadow	Wraith	Minion - Nazgul	4	9	2		3	U	P	112	The Nine Riders Collection.		Each character skirmishing Ulaire Lemenya who has resistance 5 or less is strength -3.
Ulaire Enquea, Sixth of the Nine Riders (P)	Promotional	0	LOTR00113	Shadow	Wraith	Minion - Nazgul	6	11	4		3	U	P	113	The Nine Riders Collection.		Fierce. When you play Ulaire Enquea, if you can spot 2 other Nazgul, you may exert 2 unbound companions (or exert each companion if you can spot 6 companions).
Ulaire Otsea, Seventh of the Nine Riders (P)	Promotional	0	LOTR00114	Shadow	Wraith	Minion - Nazgul	4	9	3		3	U	P	114	The Nine Riders Collection.		When you play Ulaire Otsea, you may spot a companion who has X wounds to reveal the top X cards of your draw deck. Take each [RINGWRAITH] card revealed this way into hand.
Ulaire Toldea, Eighth of the Nine Riders (P)	Promotional	0	LOTR00115	Shadow	Wraith	Minion - Nazgul	6	12	3		3	U	P	115	The Nine Riders Collection.		Fierce. Each time Ulaire Toldea wins a skirmish, you may play the fellowship's next site.
Ulaire Nertea, Ninth of the Nine Riders (P)	Promotional	0	LOTR00116	Shadow	Wraith	Minion - Nazgul	4	9	2		3	U	P	116	The Nine Riders Collection.		Lurker. (Skirmishes involving lurker minions must be resolved after any others.) While Ulaire Nertea is at a forest site, he is strength +2. While you can spot 6 companions, each Nazgul is strength +2.
Faramir, Prince of Ithilien (P)	Promotional	0	LOTR00117	Free Peoples	Gondor	Companion - Man	3	7	3	7		U	P	117			While you can spot Boromir, Faramir is twilight cost -1. While you can spot Denethor, Faramir is twilight cost -1. While Faramir bears a [GONDOR] possession, he is defender +1.
Eowyn, Restless Warrior (P)	Promotional	0	LOTR00118	Free Peoples	Rohan	Companion - Man	2	6	3	6		U	P	118	Image fix by Malachi. 		Each possession you play on Eowyn during the fellowship phase is twilight cost -1. Each time the fellowship moves during the regroup phase, you may reinforce a [ROHAN] token (or reinforce 2 [ROHAN] tokens if you can spot Eomer or Theoden).
